universities_id,universities_name
989873.0,Universitas Katolik Soegijapranata
989618.0,United States Military Academy
989545.0,Rensselaer Polytechnic Institute
989500.0,Wagner College
989241.0,University of Rochester
989236.0,Rochester Institute of Technology
988689.0,Etelä-Karjalan ammattikorkeakoulu
987816.0,Universitas Kutai Kartanegara Tenggarong
987562.0,МАУП ТФ
987195.0,Stony Brook University (SUNY Stony Brook)
986389.0,Long Island University - C.W. Post Campus
985758.0,Pratt Institute
985755.0,Long Island University - Brooklyn Campus
985754.0,City University of New York
985751.0,City University of New York
985401.0,Universitas Islam Bandung
985241.0,Universitas Trisakti 
985221.0,Universitas Mercu Buana 
985202.0,Universitas Bina Nusantara :
984260.0,Universitas Tidar Magelang
984123.0,Sekolah Tinggi Ilmu Komunikasi Interstudi 
983261.0,Universitas Palembang :
982699.0,Добавился - пиши. Спам не слать. Толпа молчащих партизан в друзьях меня раздражает. А вообще-то я добрая и всех люблю.
981474.0,Universitas Respati Yogyakarta :
979330.0,BTVI
977497.0,University of Pune
977492.0,Symbiosis International University
977485.0,College of Engineering
976699.0,ПВЗРККУ им. Н. Ф. Ватутина (до 1995 г.)
976574.0,New York Medical College
973713.0,КазИТА
973614.0,ICTI-Polytechnic College
970320.0,Delhi University (DU)
969116.0,Universidad Metropolitana de Honduras
968206.0,это очень странный лес.
967457.0,принимаю заказы орифлэйм))
966179.0,Институт укропа и других плодово-ягодных
964762.0,"Islamabad Model College for Boys, G-10/4, Islamabad."
964224.0,Rajshahi University of Engineering & Technology
964118.0,Khulna University
963564.0,Ecole Supérieure d’Infotronique d’Haïti
963388.0,DLSU
963375.0,Bataan Peninsula State University
962597.0,УИПА
961220.0,WMSU
960865.0,"Вы не можете сделать счастливым этого пользователя, так как он предпочел скрыть эту функцию в настройках приватности...."
960830.0,STKIP PGRI Sidoarjo :
959811.0,Seneca College
958776.0,UM
958733.0,USC
958727.0,CSC
955771.0,Calcutta Medical College
955544.0,Uttar Pradesh Technical University
955539.0,J. D. Birla Institute
955469.0,PUP
954976.0,Anna University
954302.0,Hosei University (法政大学)
953993.0,KU
952562.0,ВЖШСС
952561.0,Tokyo University of the Arts (東京藝術大学)
950806.0,UE
950723.0,Học viện Kỹ thuật Quân sự
950678.0,ĐH Thương mại
950675.0,"ĐH Thủy Lợi - Tây Sơn, Quận Đống Đa, Hà Nội"
950663.0,ĐH Nông nghiệp Hà Nội
950614.0,ĐH Kiến trúc Hà Nội 
950543.0,"ĐH Bách khoa Hà Nội - Công lập -  Đại Cồ Việt, Hai Bà Trưng, Hà Nội, Việt Nam"
948328.0,KAU
946879.0,ĐH Ngân hàng TPHCM
946819.0,Brokenshire College
945534.0,CCP
944904.0,Shri Govindram Seksaria Institute of Technology and Science
943490.0,Rayalaseema University
942308.0,˜”*° Electro House °*”
942172.0,University of Mysore
942132.0,Gujarat University
942114.0,All India Management Association (AIMA)
940797.0,AMAR TELIDJI
940732.0,PU
940635.0,БИБВУ
939387.0,OU
939360.0,JNTU
938187.0,NIT
938168.0,ISB
936642.0,Universitas Airlangga (Unair) :
936439.0,San Sebastian College Recoletos de Cavite
936411.0,АФ КИРУЭ
935862.0,"Она пахнет ванилью и туманом, на её лице всегда сияет чарующая улыбка.Она умеет честно врать и ненавидит,когда ее называют ""малышкой"",она не умеет плакать, но обожает слезы неба.любит фотографировать всё что видит."
932515.0,Escuela Superior Politécnica del Litoral (ESPOL)
932264.0,F. C. College University
931944.0,"Indira Gandhi National Open University, (Delhi)"
931699.0,University of Mumbai (Bombay)
930759.0,Indian Institute of Technology Mumbai
929845.0,Board of Technical Education
929307.0,Glion Institute of Higher Education
929073.0,ДИКМО
925083.0,The Institution of Electronics & Telecommunication
925021.0,Jamia Millia Islamia
924243.0,Indian Institute of Technology
923212.0,ФЦСКЭ им. В. А. Алмазова
922698.0,college of commerce and ecnomics
922159.0,Universitas Budi Luhur
922128.0,cuet
921613.0,Sher-e-Bangla Agricultural University
920351.0,Virtual University of Pakistan
920265.0,Institute of Contemporary Music Performance
920068.0,private
918969.0,LPKIA Bandung
918817.0,Фабрика Клонов Камино
918365.0,karachi
918363.0,GC University
917828.0,AzTU (АзТУ)
917786.0,Universitas Krisna Dwipayana
917766.0,Universitas Sultan Ageng Tirtayasa (UNTIRTA)
917682.0,Universitas Sumatera Utara
917636.0,WIMA
917451.0,UCR
917223.0,university mohamed premier
917000.0,Daffodil Institution of IT
916588.0,FEU-NRMF
916577.0,Universitas Gajah Mada
916006.0,UI
915756.0,FUUAST
915742.0,PNU
915541.0,Mehran University of Engg. & Tech.
914719.0,[I love vampire]
914043.0,University of the punjab
913540.0,Tidak ada
913426.0,Azərbaycan (Азербайджан)
912833.0,Adamson University
912024.0,ahmad dahlan university
911542.0,University of Peshawar
911515.0,Govt. City College
911434.0,BRAC University
911312.0,UNILATINA
911049.0,shah abdul latif university khairpur
910834.0,East west university
910529.0,The University of Asia Pacific
910467.0,ИФЛ СО РАН
909644.0,University of Ibadan
909498.0,Universitas Pembangunan Nasional
908853.0,USB
908845.0,Cambridge Marketing Colleges
908669.0,Rangpur Government College
908030.0,Universitas Riau
907226.0,UMNG
904770.0,Акадения рыбной ловли и роботов
903723.0,КА Шаг (ДФ)
903656.0,АГУ при Президенте РК
903452.0,Baruch College
903444.0,Oxford College of London (OCL)
899536.0,ИПОС СО РАН
899534.0,ИРН св. Фомы Аквинского  
898784.0,Centre franco-biélorusse
898069.0,LAJM 
898033.0,Alytaus kolegija
897982.0,Vilniaus technikos kolegija (VTK)
895170.0,Упячни-универ 100500
893677.0,"Думаю, що можу звернути гори, а насправді не можу підняти навіть табурет"
893627.0,MMUST
886470.0,ИЭСО
880571.0,Central University College
878421.0,[Закрыто] [Вход платный]
872873.0,ХКТЭИ
872224.0,Диверсионная школа пчел-убийц (ДШПУ
871097.0,АДА
871096.0,Conservatorium van Amsterdam (CvA)
869225.0,ЕУ ЯФ
865962.0,VTVK
862858.0,ШУТИС (MUST)
861466.0,УФ ЕУ
861434.0,КазКФА
861423.0,ОУКЦ КМИУ
861278.0,ИК НАНУ
856966.0,Southeast University
854032.0,Hate and destruction crashed down on our world...
852681.0,Universidad Tecnológica de Chile (INACAP) - Sede Iquique
851316.0,если я тебя не добавила значит ты лох=)
848560.0,Universidad de Chile
848376.0,НЕИЭМО
846951.0,Universidad Autónoma del Estado de Morelos 
845935.0,Universidad La Salle Cuernavaca
845579.0,Pontificia Universidad Católica de Chile (PUC)
844525.0,ППДС
844523.0,ЗУФ МИРБИС
844469.0,★★★
843947.0,not stated
839538.0,Universidad de Sonora
838236.0,•••University of Rap Woyska Records
835877.0,"ИППК ""Профессионал"""
835855.0,МГОУ (областной)
834649.0,
832521.0,Universidade de Taubaté (UNITAU)
832466.0,USP
832465.0,ВЮИ
832440.0,СПбУ МВД РФ (АФ)
832418.0,Кора Москва
828499.0,DuocUC - Sede Plaza Vespucio
827580.0,Я очень люблю цветы и отрываться по полной... Но цветы больше! Не удивляйтесь... Я игрю блюз и буги-вуги... Моя мечта - ночь с бордовой розой!!!
827195.0,Centro Universitário Feevale
824548.0,Universidad Privada Domingo Savio (UPDS)
824503.0,Universidad Privada de Santa Cruz de la Sierra (UPSA)
824360.0,Universidad Mayor de San Andrés (UMSA)
823564.0,Escuela Militar de Ingenieria - Unidad Academica Cochabamba
821489.0,punjab colleg
818312.0,UFRPE
811831.0,принимайте меня такой какая я есть ибо я не изменима
809359.0,"""КМК""- Красноярский Монтажный Колледж"
807602.0,ДОБАВЛЯЮ ВСЕХ!!!!
807150.0,===>не добавляю ...тех кто старше 20 *плиззз не проситесь*..пендовок и фейков тож прошу не беспокоить.. добавляйте те кто хочет со мной пообщаца и отписывайтесь в личку).для кол-ва...тож не добавлять..а кто добавил..удалитесь)плизз это не так сложно)
805720.0,"Отвалите со своими ""Привет.Как дела?"".Нет у меня дел!Не деловая я!"
802418.0,ABU
799993.0,UFMG
797821.0,МУИТ (IITU)
797691.0,Академия звёзд
795951.0,
793073.0,Universidad Autónoma de Ciudad Juárez (UACJ)
792517.0,UFG
791295.0,Привет! Я фан страница Ранеток и Леры! Добавляйтеь все не пожалеете! У меня море экслкюзива! Плюс при добавлении ссылка на настоящую Леру!
789495.0,CENTEC
788933.0,умса
788462.0,Universidad del Valle de México (Campus Puebla)
788356.0,Benemérita Universidad Autónoma de Puebla (BUAP)
787316.0,КИП
787315.0,ДГПУ им. Франко (филиал)
786793.0,Universidad Blas Pascal
785768.0,Universidad Nacional de La Plata - UNLP
785759.0,Universidad Católica de La Plata - Unidad Académica Rosario
785315.0,ЮОГУ
784315.0,Academia de San Carlos
783882.0,"Conservatorio de Superior de Música ""Manuel de Falla"""
783618.0,Instituto Tecnológico de Buenos Aires
783591.0,Universidad de Buenos Aires
783578.0,Instituto Superior de Ciencias de la Salud
783571.0,Instituto de Programación Neuro-Lingüística
783563.0,Escuela Argentina de Negocios
783454.0,ТГУ им. Джавахишвили (ЗФ)
779355.0,"Аккадемия ЧЁТКИХ КАВКАЗКИХ ЛЮДЕЙ , чёт не нравиться иди и потеряйся, Нахуй ты мне не нужен • И ещё если Добавлил значит вы нормальный человек , А остальные нахуй вам дорога, Не говорите что мне делать и я не скажу куда мам идти  ▼КАРАБАХ ПРИНАДЛЕЖИТ"
778611.0,КузГТУ (филиал)
778580.0,СибГИУ (филиал)
778354.0,ТюмГУ (НФ)
775387.0,МФЮА (КФ)
772175.0,Universidad Catolica Andres Bello
771881.0,КОГПА им. Т. Шевченко
771646.0,БАТИ
771110.0,АПРИКТ
771065.0,Тюменский Государственный Университет
770936.0,Teshreen University
770069.0,Закарпатський Угорський інститут ім. Ференца Ракоці ІІ
769680.0,МИП НФ
766116.0,𝐌𝐨𝐬𝐜𝐨𝐰 𝐂𝐢𝐭𝐲
765190.0,ИУПР
764566.0,МГУ им. адмирала Невельского (СФ)
763308.0,RMIT university
763183.0,"А я маленькая бяка,а я маленькая дрянь))))))))))))хДДД"
762876.0,МУКАЧЕВСКИЙ ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ
762875.0,МДУ
761132.0,Филиал Винницкого проектного института
761130.0,Институт нефти и газа
761128.0,ДГПУ им. Франко
760286.0,MICO
756697.0,[3-я Южная магистраль]
756130.0,Вуз жизни и фантазии
755574.0,★ Информация скрыта★
755206.0,ДВГУПС
753926.0,Hello!)
753017.0,Aizhan_One Love
749991.0,УДПУ им. П.Тычины
749990.0,УДАУ
747842.0,Lebanese Unisversity
747034.0,ИИЯМС
742561.0,"Я спокойная и уровновешаная если ты решил добавиться несмей кричать, ругаться, психовать и выводить меня из себя. Готов выполнять эти условия? Если нет то свободен,а вот если да то не забывай писать мне хотябы раз в неделю."
742496.0,НУГНСУ (ЖФ)
741239.0,♥Добавляйтесь девченки ♥ и все
740377.0,Mainori Kõrgkool 
739758.0,ЭТУ (бывш. БФ ХИУ)
739668.0,БИММ при МАУП
737586.0,我很喜欢学习汉语
